["38° 58.719' N,9° 25.393' W"
 "34° 17.531' S,21° 55.383' E"
 "1° 59.118' S,99° 34.104' E"
 "14° 21.152' S,39° 0.057' W"
 "22° 28.636' N,114° 31.984' E"
 "26° 18.267' S,14° 57.18' E"
 "52° 52.123' N,9° 26.91' W"
 "42° 34.017' N,8° 47.994' E"
 "27° 2.947' S,48° 35.207' W"
 "23° 3.841' S,43° 34.162' W"
 "30° 30.367' N,9° 41.154' W"
 "28° 11.505' S,48° 39.681' W"
 "47° 38.293' N,3° 12.553' W"
 "46° 24.875' N,1° 37.738' W"
 "54° 30.057' N,8° 16.136' W"
 "11° 54.761' N,86° 37.2' W"
 "8° 53.265' S,116° 9.642' E"
 "18° 0.885' N,65° 50.671' W"
 "14° 52.278' N,61° 11.185' W"
 "33° 51.857' N,7° 4.141' W"
 "44° 5.514' N,1° 19.544' W"
 "41° 7.012' N,8° 39.969' W"
 "49° 27.651' N,2° 39.334' W"
 "0° 45.447' S,8° 44.943' E"
 "20° 16.548' S,40° 16.259' W"
 "34° 21.561' S,18° 55.571' E"
 "2° 56.005' N,9° 54.29' E"
 "12° 20.85' S,76° 49.412' W"
 "4° 9.046' S,38° 6.584' W"
 "32° 49.836' N,16° 59.48' W"
 "23° 53.804' S,46° 9.081' W"
 "30° 14.833' S,30° 47.002' E"
 "21° 45.375' S,13° 57.945' E"
 "14° 45.246' N,17° 31.035' W"
 "4° 48.197' S,55° 31.556' E"
 "43° 28.147' N,1° 34.473' W"
 "3° 43.093' S,38° 31.08' W"
 "59° 49.24' N,22° 55.296' E"
 "22° 55.784' S,42° 2.265' W"
 "28° 25.184' N,16° 30.761' W"
 "38° 43.155' N,27° 3.628' W"
 "49° 33.644' N,1° 51.587' W"
 "44° 7.522' N,14° 52.54' E"
 "9° 34.745' N,125° 45.753' E"
 "52° 35.118' N,4° 5.55' W"
 "16° 12.947' N,61° 23.68' W"
 "12° 37.004' N,70° 3.615' W"
 "50° 51.124' N,0° 34.459' E"
 "41° 50.355' N,3° 5.781' E"
 "50° 12.936' N,5° 28.527' W"
 "36° 42.951' N,4° 21.009' W"
 "43° 32.48' N,5° 39.261' W"
 "18° 30.093' N,67° 1.434' W"
 "50° 25.043' N,5° 6.119' W"
 "18° 28.099' N,66° 14.225' W"
 "27° 40.725' N,18° 1.814' W"
 "34° 17.522' S,21° 55.563' E"
 "34° 24.215' S,19° 7.029' E"
 "33° 9.775' N,8° 37.801' W"
 "45° 26.105' N,12° 25.779' E"
 "53° 28.678' N,6° 6.953' W"
 "35° 2.786' N,32° 25.888' E"
 "27° 47.611' S,48° 32.007' W"
 "30° 52.399' N,29° 19.666' E"
 "48° 13.455' N,4° 29.583' W"
 "9° 39.095' N,82° 44.277' W"
 "4° 19.204' S,55° 45.485' E"
 "4° 22.022' S,55° 51.102' E"
 "8° 48.244' S,115° 6.8' E"
 "45° 38.319' N,1° 4.641' W"
 "41° 31.409' N,8° 47.483' W"
 "34° 20.754' S,19° 0.204' E"
 "50° 39.856' N,1° 28.948' W"
 "17° 55.738' N,66° 55.313' W"
 "32° 16.06' N,117° 1.16' W"
 "43° 33.913' N,7° 13.568' W"
 "27° 9.372' S,48° 28.975' W"
 "34° 15.407' N,6° 40.967' W"
 "18° 27.259' N,65° 57.887' W"
 "38° 53.67' N,8° 52.741' E"
 "52° 39.653' N,4° 37.677' E"
 "23° 32.513' N,121° 30.599' E"
 "41° 59.15' N,19° 8.93' E"
 "43° 50.59' N,1° 23.839' W"
 "52° 36.483' N,4° 6.41' W"
 "50° 46.653' N,0° 54.677' W"
 "38° 53.005' N,8° 51.819' E"
 "41° 8.405' N,30° 9.128' E"
 "49° 19.179' N,0° 21.114' W"
 "39° 35.988' N,9° 4.542' W"
 "9° 51.13' N,85° 24.037' W"
 "4° 13.061' S,81° 11.187' W"
 "11° 23.885' N,86° 2.288' W"
 "10° 33.841' S,77° 54.47' W"
