["38° 58.719' N,9° 25.393' W"
 "25° 17.085' N,121° 31.017' E"
 "15° 3.611' N,120° 3.32' E"
 "14° 32.724' N,74° 19.103' E"
 "10° 58.769' S,122° 50.602' E"
 "43° 25.358' N,3° 26.601' W"
 "1° 48.728' N,73° 24.858' E"
 "43° 24.083' N,4° 39.13' W"
 "4° 54.935' N,6° 8.863' W"
 "52° 28.079' N,4° 33.977' E"
 "54° 47.377' N,8° 30.777' W"
 "47° 35.203' N,3° 8.443' W"
 "21° 19.881' S,55° 27.181' E"
 "26° 55.863' S,48° 37.513' W"
 "51° 34.006' N,4° 1.94' W"
 "12° 10.973' N,86° 46.344' W"
 "12° 7.924' S,77° 2.071' W"
 "43° 23.945' N,8° 19.799' W"
 "4° 18.768' N,73° 35.028' E"
 "38° 41.324' N,9° 21.58' W"
 "32° 4.652' S,18° 18.407' E"
 "37° 12.937' N,21° 35.826' E"
 "13° 58.07' N,61° 1.647' W"
 "35° 10.668' N,129° 11.994' E"
 "29° 15.126' N,13° 30.951' W"
 "23° 55.043' S,45° 20.867' W"
 "18° 28.88' S,70° 19.971' W"
 "39° 0.733' N,9° 25.337' W"
 "42° 59.959' S,147° 19.739' E"
 "34° 6.423' N,35° 39.011' E"
 "51° 13.239' N,2° 52.936' E"
 "48° 27.44' N,4° 46.291' W"
 "21° 57.497' N,120° 45.62' E"
 "3° 50.334' S,32° 24.668' W"
 "38° 9.916' S,57° 37.732' W"
 "7° 7.52' S,139° 22.894' E"
 "13° 41.531' N,124° 23.856' E"
 "28° 21.135' N,16° 22.171' W"
 "6° 44.39' N,11° 23.047' W"
 "50° 8.414' N,5° 4.572' W"
 "39° 31.283' N,8° 25.869' E"
 "9° 31.622' N,84° 30.194' W"
 "40° 10.942' N,8° 54.541' W"
 "55° 23.659' N,14° 3.503' E"
 "28° 4.664' S,48° 37.596' W"
 "43° 28.743' N,1° 34.031' W"
 "29° 6.695' N,13° 39.888' W"
 "22° 53.89' N,109° 52.219' W"
 "14° 45.062' N,17° 31.556' W"
 "27° 50.084' S,48° 34.005' W"
 "8° 28.993' S,116° 2.095' E"
 "43° 50.753' N,13° 1.715' E"
 "33° 49.18' S,18° 28.411' E"
 "40° 49.488' N,0° 44.505' E"
 "17° 58.478' N,65° 56.048' W"
 "43° 25.144' N,1° 37.58' W"
 "4° 41.221' S,55° 27.358' E"
 "28° 41.222' N,13° 49.8' W"
 "14° 45.746' N,17° 27.787' W"
 "39° 21.989' N,9° 21.348' W"
 "39° 53.256' N,8° 25.913' E"
 "47° 21.352' N,8° 20.432' E"
 "20° 13.532' S,70° 9.13' W"
 "30° 3.749' S,17° 10.678' E"
 "18° 27.857' N,67° 10.116' W"
 "21° 25.835' S,70° 3.593' W"
 "34° 10.74' S,18° 21.147' E"
 "32° 56.969' S,17° 53.072' E"
 "9° 14.657' N,126° 4.674' E"
 "16° 10.823' S,179° 3.011' E"
 "49° 28.807' N,1° 50.778' W"
 "37° 10.219' N,7° 29.902' W"
 "32° 35.303' S,71° 26.895' W"
 "7° 42.006' S,79° 26.522' W"
 "36° 3.682' N,14° 17.002' E"
 "46° 52.627' S,37° 51.69' E"
 "52° 5.872' N,4° 15.188' E"
 "33° 42.664' N,7° 21.702' W"
 "43° 51.837' N,10° 14.366' E"
 "13° 18.932' N,59° 38.661' W"
 "31° 20.853' N,116° 27.444' W"
 "12° 26.617' S,76° 46.502' W"
 "39° 19.481' N,9° 21.747' W"
 "8° 26.058' S,113° 34.806' E"
 "38° 58.566' N,9° 25.339' W"
 "18° 27.253' N,64° 34.674' W"
 "3° 26.07' S,10° 38.362' E"
 "39° 51.933' N,3° 8.113' E"
 "45° 37.555' N,1° 3.189' W"
 "17° 47.665' N,101° 44.852' W"
 "34° 25.424' S,72° 2.87' W"
 "38° 51.83' N,9° 26.96' W"
 "8° 49.589' S,118° 22.829' E"
 "40° 5.352' N,23° 58.739' E"
 "16° 58.363' S,149° 54.432' E"
 "2° 21.539' S,43° 14.634' W"
 "20° 13.139' S,70° 9.427' W"
 "44° 12.878' N,1° 17.945' W"
 "43° 29.5' N,3° 31.697' W"
 "9° 42.977' S,39° 45.237' E"
 "54° 28.118' N,8° 26.672' W"
 "34° 8.719' S,18° 18.976' E"
 "8° 31.457' S,114° 59.383' E"
 "37° 14.849' N,8° 52.2' W"
 "41° 9.568' N,30° 13.187' E"
 "52° 9.662' N,4° 28.341' W"
 "27° 44.882' S,15° 32.773' E"
 "43° 20.923' N,3° 7.011' W"
 "27° 4.811' S,48° 35.307' W"
 "51° 18.916' N,3° 6.63' E"
 "13° 0.374' S,38° 32.004' W"
 "37° 7.345' N,8° 35.788' W"
 "20° 13.6' S,70° 9.039' W"
 "43° 42.625' N,1° 26.289' W"
 "37° 36.658' N,25° 14.29' E"
 "20° 10.787' S,70° 8.437' W"
 "21° 20.789' N,105° 14.809' W"
 "27° 9.99' S,48° 29.69' W"
 "17° 28.733' S,49° 28.381' E"
 "12° 15.168' S,76° 55.929' W"
 "42° 15.529' N,81° 54.347' W"
 "31° 47.516' N,34° 37.615' E"
 "33° 46.366' S,18° 26.66' E"
 "17° 31.346' S,149° 30.901' W"
 "31° 13.403' N,29° 55.955' E"
 "51° 7.504' N,4° 14.742' W"
 "38° 38.48' N,0° 3.103' E"
 "2° 40.004' N,72° 54.197' E"
 "32° 10.835' N,34° 48.075' E"
 "38° 17.524' N,8° 46.594' W"
 "52° 33.448' N,4° 36.32' E"
 "17° 37.227' N,101° 33.211' W"
 "35° 33.784' S,72° 37.688' W"
 "37° 48.754' N,23° 46.617' E"
 "16° 14.443' N,61° 19.268' W"
 "14° 45.019' N,17° 31.525' W"
 "54° 33.661' N,0° 47.121' W"
 "37° 54.624' N,24° 50.345' E"
 "0° 10.446' N,102° 33.319' E"
 "51° 14.361' N,2° 55.733' E"
 "36° 31.948' N,4° 37.373' W"
 "7° 29.461' N,134° 38.494' E"
 "32° 56.135' S,28° 2.18' E"
 "31° 53.488' N,131° 27.811' E"
 "6° 50.405' N,81° 50.369' E"
 "35° 32.688' N,134° 13.136' E"
 "51° 48.455' N,10° 10.716' W"
 "19° 12.28' N,104° 41.56' W"
 "8° 29.464' N,13° 17.453' W"
 "43° 21.488' N,3° 1.336' W"
 "13° 29.584' N,89° 26.396' W"
 "32° 42.218' S,17° 58.011' E"
 "41° 15.552' N,1° 55.829' E"
 "20° 44.288' N,105° 24.17' W"
 "32° 7.154' N,116° 52.975' W"
 "50° 24.516' N,1° 33.472' E"
 "38° 6.441' S,57° 34.378' W"
 "12° 7.826' S,77° 2.207' W"
 "7° 58.082' N,98° 16.622' E"
 "38° 40.887' N,9° 18.819' W"
 "42° 50' N,12° 50' E"
 "12° 37.084' N,80° 11.919' E"
 "43° 18.806' N,81° 45.553' W"
 "12° 42.739' N,53° 30.287' E"
 "37° 49.131' N,25° 32.659' W"
 "43° 23.353' N,2° 59.687' W"
 "28° 33.518' N,16° 19.991' W"
 "27° 47.664' N,15° 28.247' W"
 "55° 1.557' N,1° 25.549' W"
 "34° 20.406' S,18° 49.695' E"
 "46° 0.293' N,1° 23.572' W"
 "36° 56.072' S,56° 42.603' W"
 "43° 37.577' N,1° 27.413' W"
 "17° 30.759' S,149° 25.087' W"
 "44° 54.731' N,0° 18.967' W"
 "17° 11.754' N,87° 36.197' W"
 "33° 47.536' S,18° 27.064' E"
 "48° 49.097' N,3° 26.933' W"
 "54° 35.146' N,10° 1.705' E"
 "26° 56.698' S,15° 13.779' E"
 "50° 12.684' N,5° 28.555' W"
 "34° 56.078' S,54° 53.961' W"
 "13° 7.583' N,61° 12.15' W"
 "8° 55.139' S,116° 44.262' E"
 "5° 25.136' N,0° 27.776' W"
 "47° 59.502' N,4° 28.791' W"
 "9° 35.321' N,78° 53.314' W"
 "8° 49.441' S,13° 12.182' E"
 "47° 30.78' N,3° 9.029' W"
 "28° 34.324' N,16° 11.557' W"
 "26° 43.615' S,48° 40.384' W"
 "50° 44.497' N,4° 38.035' W"
 "58° 57.864' N,9° 51.32' E"
 "27° 23.786' S,48° 24.848' W"
 "12° 10.817' S,77° 2.267' W"
 "6° 1.879' N,77° 23.921' W"
 "50° 18.031' N,5° 14.12' W"
 "12° 20.425' S,76° 49.355' W"
 "4° 58.471' N,114° 52.416' E"
 "0° 3.954' S,98° 15.417' E"
 "28° 3.78' N,16° 44.084' W"
 "32° 23.111' N,34° 51.708' E"
 "34° 12.751' N,35° 38.916' E"
 "28° 20.207' S,48° 42.283' W"
 "43° 27.216' N,3° 57.727' W"
 "49° 0.95' N,125° 40.213' W"
 "28° 28.502' N,13° 51.959' W"
 "40° 57.692' N,8° 39.304' W"
 "17° 24.909' N,101° 11.153' W"
 "50° 15.675' N,5° 17.354' W"
 "13° 5.985' N,59° 26.996' W"
 "43° 31.395' N,1° 31.585' W"
 "27° 41.131' S,48° 28.776' W"
 "18° 5.988' N,76° 18.728' W"
 "12° 21.779' N,16° 44.24' W"
 "56° 20.189' N,2° 46.873' W"
 "38° 57.864' N,8° 26.263' E"
 "12° 40.591' N,124° 22.161' E"
 "10° 20.253' N,107° 5.611' E"
 "34° 2.164' S,22° 45.856' E"
 "25° 29.567' N,56° 21.791' E"
 "17° 37.064' N,63° 15.327' W"
 "7° 42.633' S,79° 28.127' W"
 "52° 17.365' N,10° 1.966' W"
 "38° 15.596' N,141° 1.39' E"
 "16° 45.127' N,22° 58.746' W"
 "28° 8.677' N,15° 36.02' W"
 "42° 38.483' N,9° 0.948' E"
 "13° 8.52' S,76° 23.638' W"
 "1° 15.583' N,97° 13.792' E"
 "18° 45.423' S,174° 6.051' W"
 "47° 46.94' N,4° 17.227' W"
 "16° 42.068' S,72° 27.56' W"
 "48° 20.329' N,4° 36.974' W"
 "23° 20.639' S,44° 42.707' W"
 "7° 38.349' N,99° 1.7' E"
 "41° 47.408' N,3° 2.879' E"
 "7° 25.665' N,80° 11.77' W"
 "8° 23.488' N,83° 16.747' W"
 "24° 5.743' S,46° 37.113' W"
 "43° 24.872' N,1° 42.358' W"
 "16° 20.453' N,61° 46.775' W"
 "31° 53.553' N,116° 41.8' W"
 "40° 59.592' N,0° 55.999' E"
 "36° 41.778' N,3° 27.629' W"
 "43° 23.742' N,1° 45.283' W"
 "23° 18.213' N,106° 29.511' W"
 "8° 27.997' S,34° 59.366' W"
 "23° 49.147' S,45° 27.972' W"
 "43° 10.581' N,5° 40.296' E"
 "31° 21.887' N,9° 48.277' W"
 "38° 56.537' N,9° 25.02' W"
 "33° 53.938' S,18° 24.537' E"
 "52° 55.601' N,9° 21.152' W"
 "34° 5.337' S,22° 58.659' E"
 "30° 2.389' S,50° 8.836' W"
 "41° 31.01' N,82° 43.193' W"
 "34° 3.337' S,22° 23.476' E"
 "49° 20.149' N,0° 26.772' W"
 "43° 33.213' N,6° 35.845' W"
 "12° 37.204' N,70° 3.239' W"
 "43° 48.963' N,1° 24.313' W"
 "43° 22.512' N,3° 12.742' W"
 "44° 14.402' N,9° 28.885' E"
 "41° 32.242' N,2° 27.3' E"
 "47° 51.299' N,4° 8.603' W"
 "50° 34.337' N,4° 55.461' W"
 "46° 59.696' N,8° 35.927' E"
 "29° 9.89' S,49° 34.929' W"
 "38° 25.371' N,9° 13.135' W"
 "43° 58.973' N,8° 9.624' E"
 "43° 0.716' N,9° 16' W"
 "4° 27.439' S,81° 17.955' W"
 "31° 49.954' N,131° 27.18' E"
 "12° 10.535' N,68° 51.51' W"
 "12° 7.456' S,77° 2.479' W"
 "32° 14.989' N,131° 34.648' E"
 "6° 7.507' N,80° 6.29' E"
 "20° 45.839' N,105° 32.513' W"
 "37° 31.507' N,8° 47.292' W"
 "38° 47.264' N,0° 10.972' E"
 "64° 9.86' N,22° 1.456' W"
 "49° 42.394' N,1° 53.346' W"
 "34° 22.197' S,18° 52.588' E"
 "16° 43.66' S,72° 25.208' W"
 "12° 33.964' S,76° 43.116' W"
 "41° 11.3' N,1° 36.596' E"
 "45° 40.028' N,13° 6.916' E"
 "29° 7.569' N,13° 32.326' W"
 "50° 25.883' N,5° 3.207' W"
 "17° 55.341' N,62° 51.851' W"
 "31° 12.631' N,29° 54.66' E"
 "35° 19.934' N,25° 14.975' E"
 "14° 35.493' N,17° 8.732' W"
 "46° 17.265' N,30° 39.75' E"
 "38° 59.792' N,9° 25.61' W"
 "51° 22.765' N,1° 26.792' E"
 "5° 2.712' N,115° 3.424' E"
 "36° 42.629' S,56° 40.436' W"
 "4° 34.063' S,55° 27.411' E"
 "32° 21.511' S,71° 27.627' W"
 "38° 34.541' S,58° 41.299' W"
 "37° 35.818' S,73° 39.429' W"
 "10° 50.009' S,122° 45.182' E"
 "35° 57.68' N,120° 14.845' E"
 "0° 42.174' S,73° 10.294' E"
 "21° 1.617' S,55° 13.507' E"
 "12° 21.195' S,76° 49.077' W"
 "63° 51.021' N,21° 21.693' W"
 "36° 59.578' N,21° 38.902' E"
 "23° 28.73' S,45° 4.037' W"
 "30° 30.903' N,9° 41.339' W"
 "20° 30.427' S,57° 26.961' E"
 "12° 33.38' S,37° 59.301' W"
 "43° 39.035' N,1° 26.801' W"
 "32° 50.508' N,17° 8.419' W"
 "14° 2.55' S,171° 36.752' W"
 "28° 29.841' S,48° 44.925' W"
 "33° 36.024' N,7° 40.143' W"
 "6° 8.077' N,1° 16.868' E"
 "42° 34.038' N,3° 2.779' E"
 "34° 10.519' S,24° 50.488' E"
 "48° 20.981' N,4° 42.036' W"
 "24° 0.464' S,46° 15.988' W"
 "14° 54.151' N,23° 31.36' W"
 "16° 0.107' N,108° 16.256' E"
 "43° 18.922' N,8° 36.604' W"
 "46° 42.643' N,1° 58.918' W"
 "2° 16.708' S,99° 35.636' E"
 "7° 41.557' S,108° 39.246' E"
 "6° 59.062' S,106° 17.733' E"
 "43° 5.772' N,3° 6.768' E"
 "43° 29.935' N,3° 36.794' W"
 "49° 36.556' N,1° 50.597' W"
 "62° 7.476' N,5° 9.526' E"
 "6° 13.556' S,35° 3.015' W"
 "25° 32.9' S,48° 17.723' W"
 "50° 32.325' N,4° 59.855' W"
 "18° 5.131' N,102° 47.468' W"
 "38° 42.437' N,27° 2.71' W"
 "9° 38.106' N,82° 38.267' W"
 "53° 12.041' N,2° 59.317' W"
 "12° 36.976' N,70° 2.669' W"
 "9° 34.083' S,35° 38.808' W"
 "4° 40.055' S,81° 19.522' W"
 "33° 59.839' S,22° 34.115' E"
 "33° 39.188' N,135° 57.555' E"
 "52° 40.211' N,4° 5.754' W"
 "8° 41.709' S,115° 9.485' E"
 "37° 6.729' N,10° 15.674' E"
 "38° 48.196' N,9° 29.119' W"
 "21° 51.818' N,72° 6.645' W"
 "43° 41.214' N,1° 26.481' W"
 "38° 49.722' N,0° 9.065' E"
 "6° 58.084' S,106° 30.962' E"
 "22° 31.507' S,41° 55.221' W"
 "13° 42.357' N,90° 2.362' W"
 "50° 18.556' N,3° 57.166' W"
 "8° 49.618' S,125° 3.149' E"
 "34° 3.706' S,18° 19.594' E"
 "34° 49.808' S,19° 59.011' E"
 "39° 7.267' N,20° 35.709' E"
 "36° 41.34' N,6° 25.177' W"
 "33° 40.307' S,18° 24.456' E"
 "32° 55.754' S,71° 31.912' W"
 "16° 11.963' N,73° 26.07' E"
 "7° 20.152' S,106° 23.853' E"
 "23° 26.522' N,106° 34.895' W"
 "37° 34.673' N,0° 50.767' W"
 "43° 32.721' N,5° 31.74' W"
 "34° 37.333' S,54° 8.922' W"
 "4° 59.242' N,2° 35.787' W"
 "23° 51.806' S,46° 7.848' W"
 "21° 31.657' N,105° 17.059' W"
 "38° 38.461' N,9° 14.494' W"
 "44° 38.728' N,1° 15.755' W"
 "46° 36.431' N,1° 51.325' W"
 "45° 42.493' N,1° 14.57' W"
 "6° 52.575' N,81° 50.798' E"
 "54° 11.384' N,7° 54.885' E"
 "52° 22.335' N,4° 31.515' E"
 "8° 25.724' S,78° 55.413' W"
 "11° 52.558' N,75° 20.842' E"
 "0° 52.13' S,46° 25.848' W"
 "38° 38.267' N,9° 14.136' W"
 "5° 56.004' N,116° 2.798' E"
 "23° 40.143' N,117° 27.372' E"
 "2° 2.247' N,73° 32.147' E"
 "38° 4.876' S,57° 32.186' W"
 "20° 8.139' S,40° 10.838' W"
 "34° 2.556' S,25° 38.375' E"
 "43° 33.87' N,6° 57.384' W"
 "53° 6.088' N,4° 45.232' E"
 "20° 44.9' N,105° 26.518' W"
 "2° 7.182' S,99° 31.117' E"
 "26° 27.485' S,48° 35.812' W"
 "13° 26.663' N,144° 38.746' E"
 "28° 34.182' N,16° 12.295' W"
 "26° 50.625' S,32° 53.695' E"
 "33° 23.938' S,71° 42.101' W"
 "20° 16.544' S,70° 7.982' W"
 "34° 7.307' S,151° 8.249' E"
 "8° 39.851' S,115° 7.575' E"
 "18° 25.188' N,70° 0.671' W"
 "44° 2.476' N,8° 13.427' E"
 "27° 42.931' S,48° 30.135' W"
 "28° 3.046' N,14° 21.342' W"
 "36° 53.906' N,8° 25.81' E"
 "34° 17.782' S,18° 49.284' E"
 "43° 49.534' N,7° 50.747' E"
 "46° 30.724' N,1° 49.411' W"
 "44° 2.354' N,1° 20.564' W"
 "34° 7.547' S,18° 27.135' E"
 "40° 40.257' N,8° 44.788' W"
 "50° 11.926' N,5° 27.672' W"
 "43° 30.106' N,1° 32.514' W"
 "53° 4.851' N,4° 44.204' E"
 "18° 30.486' S,70° 19.097' W"
 "44° 40.564' N,1° 15.463' W"
 "4° 47.161' S,55° 29.875' E"
 "46° 25.696' N,30° 46.109' E"
 "32° 47.303' N,16° 50.644' W"
 "35° 28.848' N,23° 33.611' E"
 "54° 16.752' N,8° 36.354' W"
 "7° 24.807' S,79° 35.381' W"
 "9° 56.835' N,85° 40.411' W"
 "45° 22.652' N,1° 9.677' W"
 "22° 38.678' S,14° 31.527' E"
 "50° 24.845' N,5° 7.13' W"
 "31° 36.777' N,34° 30.261' E"
 "47° 36.37' N,3° 9.674' W"
 "28° 4.442' N,14° 27.419' W"
 "31° 36.258' N,131° 25.154' E"
 "43° 28.821' N,3° 40.79' W"
 "32° 54.619' S,28° 4.83' E"
 "4° 40.858' S,55° 26.767' E"
 "43° 33.374' N,8° 17.449' W"
 "43° 29.151' N,3° 47.288' W"
 "28° 45.188' N,13° 55.424' W"
 "43° 7.971' N,5° 44.877' E"
 "43° 58.592' N,10° 8.381' E"
 "26° 9.033' N,127° 53.194' E"
 "42° 49.215' N,10° 18.746' E"
 "6° 59.161' S,39° 32.545' E"
 "15° 51.31' N,97° 3.479' W"
 "40° 8.401' N,8° 51.793' W"
 "34° 6.18' N,136° 14.039' E"
 "46° 10.386' N,1° 23.139' W"
 "33° 28.999' S,71° 38.74' W"
 "40° 56.382' N,8° 39.49' W"
 "43° 22.918' N,3° 1.007' W"
 "27° 47.085' S,48° 31.559' W"
 "32° 11.693' N,131° 33.373' E"
 "47° 45.271' N,3° 30.94' W"
 "18° 20.216' N,65° 19.184' W"
 "47° 47.622' N,4° 13.815' W"
 "29° 6.725' N,13° 39.781' W"
 "38° 30.801' N,0° 11.95' W"
 "26° 30.959' N,76° 58.125' W"
 "37° 5.166' N,8° 43.53' W"
 "28° 4.472' N,15° 24.822' W"
 "65° 33.449' N,24° 21.652' W"
 "54° 4.975' N,4° 43.736' W"
 "38° 58.974' N,20° 42.43' E"
 "28° 14.469' S,48° 39.233' W"
 "28° 45.281' N,13° 53.133' W"
 "68° 16.316' N,13° 34.499' E"
 "18° 15.307' N,62° 59.108' W"
 "42° 6.976' N,8° 53.92' W"
 "29° 20.546' S,49° 43.47' W"
 "17° 46.7' S,168° 17.755' E"
 "12° 47.146' S,45° 17.978' E"
 "37° 36.16' N,0° 43.769' W"
 "28° 44.549' N,13° 51.777' W"
 "5° 50.384' N,10° 1.615' W"
 "16° 43.415' S,151° 2.974' W"
 "51° 34.048' N,4° 6.891' W"
 "41° 50.872' N,8° 52.023' W"
 "0° 53.43' S,89° 36.863' W"
 "36° 14.013' N,6° 4.421' W"
 "33° 32.033' N,7° 49.126' W"
 "32° 47.779' N,34° 57.324' E"
 "51° 14.862' N,2° 56.982' E"
 "13° 29.679' N,89° 26.313' W"
 "18° 20.695' N,67° 15.716' W"
 "25° 8.912' N,55° 11.688' E"
 "5° 56.169' N,80° 31.566' E"
 "39° 29.332' N,8° 24.242' E"
 "11° 55.439' N,86° 37.356' W"
 "0° 33.87' N,97° 43.795' E"
 "18° 46.433' N,68° 32.174' W"
 "29° 12.466' N,13° 29.854' W"
 "8° 38.504' N,98° 14.75' E"
 "33° 44' S,18° 25.89' E"
 "51° 19.9' N,1° 25.378' E"
 "43° 18.51' N,8° 38.571' W"
 "14° 2.465' S,38° 56.885' W"
 "18° 29.491' N,66° 38.594' W"
 "66° 5.65' N,17° 18.991' W"
 "28° 8.77' N,15° 34.029' W"
 "43° 39.262' N,7° 11.83' E"
 "32° 42.586' S,71° 29.778' W"
 "45° 5' N,1° 11.542' W"
 "22° 58.357' S,43° 2.007' W"
 "9° 21.667' N,82° 12.283' W"
 "8° 52.919' S,116° 2.176' E"
 "34° 20.909' S,21° 53.114' E"
 "41° 14.919' N,13° 2.019' E"
 "47° 59.083' N,4° 27.902' W"
 "8° 49.332' S,115° 13.648' E"
 "52° 56.164' N,9° 21.461' W"
 "37° 48.912' N,25° 33.667' W"
 "42° 15.192' N,8° 52.319' W"
 "27° 10.219' S,109° 26.982' W"
 "9° 37.609' N,85° 9.127' W"
 "35° 54.591' S,72° 41.433' W"
 "49° 44.276' N,0° 17.435' E"
 "9° 50.621' N,126° 9.443' E"
 "2° 33.63' S,150° 47.427' E"
 "8° 44.3' N,98° 13.231' E"
 "33° 59.04' S,23° 33.786' E"
 "23° 0.651' S,43° 21.712' W"
 "25° 24.066' N,76° 32.505' W"
 "36° 13.365' N,136° 8.065' E"
 "33° 31.878' N,7° 49.032' W"
 "2° 27.667' N,96° 13.176' E"
 "12° 58.587' S,38° 25.404' W"
 "12° 40.496' S,38° 5.11' W"
 "37° 19.032' N,9° 52.335' E"
 "47° 48.593' N,4° 23.247' W"
 "2° 23.032' S,99° 50.254' E"
 "18° 42.62' N,68° 26.186' W"
 "32° 42.829' S,71° 28.839' W"
 "38° 56.668' N,9° 25.087' W"
 "41° 52.151' N,8° 52.526' W"
 "50° 4.873' N,5° 32.273' W"
 "14° 44.069' N,17° 30.759' W"
 "28° 1.744' N,16° 34.009' W"
 "39° 24.27' N,8° 24.079' E"
 "26° 31.221' N,76° 58.047' W"
 "43° 5.525' N,5° 48.243' E"
 "58° 31.529' N,4° 15.082' W"
 "54° 17.696' N,8° 58.661' W"
 "1° 55.242' S,99° 19.165' E"
 "39° 44.416' N,3° 13.178' E"
 "50° 41.128' N,3° 5.724' W"
 "13° 29.592' N,89° 25.33' W"
 "23° 1.758' N,109° 42.845' W"
 "28° 33.372' N,16° 20.592' W"
 "33° 43.94' N,7° 20.07' W"
 "0° 37.641' S,8° 42.338' E"
 "35° 12.676' N,2° 51.624' W"
 "22° 21.69' S,166° 15.449' E"
 "33° 38.961' N,135° 57.238' E"
 "23° 1.573' S,43° 27.482' W"
 "35° 30.758' N,23° 57.241' E"
 "44° 13.783' N,64° 25.631' W"
 "51° 34.202' N,4° 17.448' W"
 "35° 32.005' N,140° 27.674' E"
 "28° 2.745' N,14° 19.7' W"
 "28° 36.261' S,48° 48.72' W"
 "21° 15.488' S,55° 19.693' E"
 "32° 42.005' S,17° 57.938' E"
 "23° 13.441' N,16° 7.129' W"
 "52° 30.829' N,9° 40.625' W"
 "14° 54.949' N,120° 3.669' E"
 "37° 5.437' N,8° 24' W"
 "40° 45.473' N,13° 52.611' E"
 "54° 54.758' N,8° 17.945' E"
 "31° 35.216' N,131° 24.599' E"
 "34° 10.747' S,24° 50.768' E"
 "39° 42.899' N,19° 40.869' E"
 "22° 43.584' S,41° 58.288' W"
 "6° 23.668' N,3° 23.687' E"
 "34° 1.829' S,24° 55.985' E"
 "18° 25.748' N,64° 39.69' W"
 "10° 56.795' N,125° 49.832' E"
 "6° 59.112' S,39° 32.381' E"
 "28° 12.958' N,16° 50.235' W"
 "39° 22.18' N,9° 20.388' W"
 "32° 15.147' N,116° 57.74' W"
 "50° 49.295' N,1° 35.522' E"
 "43° 28.218' N,3° 28.955' W"
 "32° 38.42' N,14° 18.097' E"
 "20° 30.201' S,57° 26.886' E"
 "41° 0.547' N,8° 38.876' W"
 "28° 13.883' N,16° 50.548' W"
 "34° 21.316' S,18° 28.864' E"
 "9° 21.03' N,82° 11.756' W"
 "11° 2.69' N,74° 54.774' W"
 "12° 56.166' S,38° 19.423' W"
 "41° 43.037' N,9° 24.083' E"
 "28° 20.539' S,48° 42.468' W"
 "37° 49.009' N,25° 35.425' W"
 "3° 21.136' S,40° 1.613' E"
 "22° 56.56' S,42° 1.803' W"
 "51° 16.782' N,3° 1.992' E"
 "30° 27.018' N,9° 39.787' W"
 "28° 2.374' N,16° 32.525' W"
 "34° 54.528' S,54° 49.609' W"
 "42° 46.356' N,9° 7.419' W"
 "1° 49.735' S,99° 15.256' E"
 "53° 35.138' N,6° 39.321' E"
 "9° 47.507' N,126° 10.231' E"
 "50° 50.147' N,4° 33.312' W"
 "9° 33.76' N,125° 55.989' E"
 "8° 35.564' S,115° 20.888' E"
 "37° 34.621' S,73° 38.561' W"
 "43° 19.61' N,1° 58.553' W"
 "48° 8.611' N,11° 35.268' E"
 "34° 2.072' S,24° 56.062' E"
 "34° 39.484' N,138° 55.59' E"
 "30° 19.457' S,153° 9.706' E"
 "22° 59.329' S,43° 11.349' W"
 "18° 36.072' S,182° 21.223' W"
 "20° 22.743' S,40° 18.428' W"
 "2° 3.95' S,99° 32.559' E"
 "28° 38.109' S,48° 56.893' W"
 "22° 59.395' S,43° 11.499' W"
 "38° 47.557' N,0° 10.973' E"
 "14° 46.439' N,60° 53.64' W"
 "16° 39.477' N,120° 19.228' E"
 "57° 25.594' N,152° 21.187' W"
 "12° 34.128' N,101° 27.228' E"
 "37° 48.376' N,8° 47.843' W"
 "53° 59.691' N,3° 38.848' W"
 "24° 22.172' S,47° 0.702' W"
 "23° 42.996' S,70° 26.198' W"
 "37° 7.157' N,6° 47.469' W"
 "14° 28.706' N,61° 1.648' W"
 "39° 45.421' N,9° 2.072' W"
 "43° 39.897' N,1° 26.727' W"
 "39° 22.742' N,9° 18.878' W"
 "43° 54.081' N,8° 4.646' E"
 "51° 21.89' N,3° 20.823' E"
 "0° 12.123' N,6° 42.394' E"
 "41° 9.444' N,29° 43.709' E"
 "27° 45.308' S,48° 29.911' W"
 "4° 51.489' N,2° 14.748' W"
 "51° 58.974' N,4° 2.659' E"
 "4° 18.763' N,73° 35.106' E"
 "7° 42.301' S,79° 27.137' W"
 "22° 59.253' S,43° 12.325' W"
 "40° 17.759' N,0° 20.752' E"
 "28° 59.907' N,13° 29.243' W"
 "0° 15.639' N,73° 21.768' E"
 "34° 20.602' N,139° 16.597' E"
 "7° 16.668' S,106° 22.149' E"
 "4° 35.894' S,81° 17.69' W"
 "9° 44.738' N,126° 9.982' E"
 "41° 56.137' N,8° 37.188' E"
 "43° 32.823' N,6° 58.803' E"
 "18° 25.551' N,67° 9.353' W"
 "43° 23.397' N,4° 17.299' W"
 "3° 54.257' N,73° 28.536' E"
 "34° 4.664' S,23° 3.457' E"
 "49° 47.483' N,124° 27.966' W"
 "47° 19.572' N,3° 14.329' W"
 "50° 47.456' N,4° 33.601' W"
 "38° 31.435' N,0° 10.006' W"
 "53° 43.521' N,9° 54.343' W"
 "37° 53.701' N,8° 47.845' W"
 "23° 37.464' S,70° 23.9' W"
 "38° 40.616' N,27° 3.724' W"
 "0° 48.752' N,97° 20.832' E"
 "15° 22.393' N,61° 15.074' W"
 "9° 37.095' N,79° 36.056' W"
